participant_id,page_role,png_path,pdf_path
P010,page_cover,DATA\STAGING\respondent_010\PNG\EMHA20260107_17302512.png,DATA\STAGING\respondent_010\PDF\EMHA20260107_17333221.pdf
P010,page_selfreport,DATA\STAGING\respondent_010\PNG\EMHA20260107_17310537.png,DATA\STAGING\respondent_010\PDF\EMHA20260107_17341472.pdf
P010,page_drawing,DATA\STAGING\respondent_010\PNG\EMHA20260107_17314429.png,DATA\STAGING\respondent_010\PDF\EMHA20260107_17351215.pdf
P010,page_writing,DATA\STAGING\respondent_010\PNG\EMHA20260107_17322684.png,DATA\STAGING\respondent_010\PDF\EMHA20260107_17355780.pdf
P011,page_cover,DATA\STAGING\respondent_011\PNG\EMHA20260107_17420151.png,DATA\STAGING\respondent_011\PDF\EMHA20260107_17371817.pdf
P011,page_selfreport,DATA\STAGING\respondent_011\PNG\EMHA20260107_17430832.png,DATA\STAGING\respondent_011\PDF\EMHA20260107_17382385.pdf
P011,page_drawing,DATA\STAGING\respondent_011\PNG\EMHA20260107_17435323.png,DATA\STAGING\respondent_011\PDF\EMHA20260107_17391132.pdf
P011,page_writing,DATA\STAGING\respondent_011\PNG\EMHA20260107_17443544.png,DATA\STAGING\respondent_011\PDF\EMHA20260107_17402188.pdf
P012,page_cover,DATA\STAGING\respondent_012\PNG\EMHA20260107_17473177.png,DATA\STAGING\respondent_012\PDF\EMHA20260107_17531575.pdf
P012,page_selfreport,DATA\STAGING\respondent_012\PNG\EMHA20260107_17482060.png,DATA\STAGING\respondent_012\PDF\EMHA20260107_17540583.pdf
P012,page_drawing,DATA\STAGING\respondent_012\PNG\EMHA20260107_17491626.png,DATA\STAGING\respondent_012\PDF\EMHA20260107_17544944.pdf
P012,page_writing,DATA\STAGING\respondent_012\PNG\EMHA20260107_17505824.png,DATA\STAGING\respondent_012\PDF\EMHA20260107_17555329.pdf
P013,page_cover,DATA\STAGING\respondent_013\PNG\EMHA20260107_18015292.png,DATA\STAGING\respondent_013\PDF\EMHA20260107_17571171.pdf
P013,page_selfreport,DATA\STAGING\respondent_013\PNG\EMHA20260107_18024598.png,DATA\STAGING\respondent_013\PDF\EMHA20260107_17581322.pdf
P013,page_drawing,DATA\STAGING\respondent_013\PNG\EMHA20260107_18034198.png,DATA\STAGING\respondent_013\PDF\EMHA20260107_17592509.pdf
P013,page_writing,DATA\STAGING\respondent_013\PNG\EMHA20260107_18075916.png,DATA\STAGING\respondent_013\PDF\EMHA20260107_18004075.pdf
P014,page_cover,DATA\STAGING\respondent_014\PNG\EMHA20260107_18125471.png,DATA\STAGING\respondent_014\PDF\EMHA20260107_18163953.pdf
P014,page_selfreport,DATA\STAGING\respondent_014\PNG\EMHA20260107_18135543.png,DATA\STAGING\respondent_014\PDF\EMHA20260107_18185630.pdf
P014,page_drawing,DATA\STAGING\respondent_014\PNG\EMHA20260107_18144764.png,DATA\STAGING\respondent_014\PDF\EMHA20260107_18202832.pdf
P014,page_writing,DATA\STAGING\respondent_014\PNG\EMHA20260107_18153479.png,DATA\STAGING\respondent_014\PDF\EMHA20260107_18230738.pdf
P015,page_cover,DATA\STAGING\respondent_015\PNG\EMHA20260107_18341707.png,DATA\STAGING\respondent_015\PDF\EMHA20260107_18290874.pdf
P015,page_selfreport,DATA\STAGING\respondent_015\PNG\EMHA20260107_18345560.png,DATA\STAGING\respondent_015\PDF\EMHA20260107_18310335.pdf
P015,page_drawing,DATA\STAGING\respondent_015\PNG\EMHA20260107_18355977.png,DATA\STAGING\respondent_015\PDF\EMHA20260107_18324162.pdf
P015,page_writing,DATA\STAGING\respondent_015\PNG\EMHA20260107_18365506.png,DATA\STAGING\respondent_015\PDF\EMHA20260107_18332628.pdf
P016,page_cover,DATA\STAGING\respondent_016\PNG\EMHA20260108_18191589.png,DATA\STAGING\respondent_016\PDF\EMHA20260108_18223418.pdf
P016,page_selfreport,DATA\STAGING\respondent_016\PNG\EMHA20260108_18200344.png,DATA\STAGING\respondent_016\PDF\EMHA20260108_18232379.pdf
P016,page_drawing,DATA\STAGING\respondent_016\PNG\EMHA20260108_18204819.png,DATA\STAGING\respondent_016\PDF\EMHA20260108_18241237.pdf
P016,page_writing,DATA\STAGING\respondent_016\PNG\EMHA20260108_18212766.png,DATA\STAGING\respondent_016\PDF\EMHA20260108_18245693.pdf
P017,page_cover,DATA\STAGING\respondent_017\PNG\EMHA20260108_18310401.png,DATA\STAGING\respondent_017\PDF\EMHA20260108_18261721.pdf
P017,page_selfreport,DATA\STAGING\respondent_017\PNG\EMHA20260108_18315673.png,DATA\STAGING\respondent_017\PDF\EMHA20260108_18270418.pdf
P017,page_drawing,DATA\STAGING\respondent_017\PNG\EMHA20260108_18324542.png,DATA\STAGING\respondent_017\PDF\EMHA20260108_18274714.pdf
P017,page_writing,DATA\STAGING\respondent_017\PNG\EMHA20260108_18340796.png,DATA\STAGING\respondent_017\PDF\EMHA20260108_18285941.pdf
P018,page_cover,DATA\STAGING\respondent_018\PNG\EMHA20260108_18352036.png,DATA\STAGING\respondent_018\PDF\EMHA20260108_18384201.pdf
P018,page_selfreport,DATA\STAGING\respondent_018\PNG\EMHA20260108_18360997.png,DATA\STAGING\respondent_018\PDF\EMHA20260108_18392738.pdf
P018,page_drawing,DATA\STAGING\respondent_018\PNG\EMHA20260108_18365372.png,DATA\STAGING\respondent_018\PDF\EMHA20260108_18402095.pdf
P018,page_writing,DATA\STAGING\respondent_018\PNG\EMHA20260108_18374867.png,DATA\STAGING\respondent_018\PDF\EMHA20260108_18410744.pdf
P019,page_cover,DATA\STAGING\respondent_019\PNG\EMHA20260108_18593304.png,DATA\STAGING\respondent_019\PDF\EMHA20260108_18584562.pdf
P019,page_selfreport,DATA\STAGING\respondent_019\PNG\EMHA20260108_19002284.png,DATA\STAGING\respondent_019\PDF\EMHA20260108_19010559.pdf
P019,page_drawing,DATA\STAGING\respondent_019\PNG\EMHA20260108_19023382.png,DATA\STAGING\respondent_019\PDF\EMHA20260108_19015112.pdf
P019,page_writing,DATA\STAGING\respondent_019\PNG\EMHA20260108_19033179.png,DATA\STAGING\respondent_019\PDF\EMHA20260108_19041194.pdf
P020,page_cover,DATA\STAGING\respondent_020\PNG\EMHA20260108_19055165.png,DATA\STAGING\respondent_020\PDF\EMHA20260108_19051084.pdf
P020,page_selfreport,DATA\STAGING\respondent_020\PNG\EMHA20260108_19065032.png,DATA\STAGING\respondent_020\PDF\EMHA20260108_19073501.pdf
P020,page_drawing,DATA\STAGING\respondent_020\PNG\EMHA20260108_19091021.png,DATA\STAGING\respondent_020\PDF\EMHA20260108_19082435.pdf
P020,page_writing,DATA\STAGING\respondent_020\PNG\EMHA20260108_19100833.png,DATA\STAGING\respondent_020\PDF\EMHA20260108_19110656.pdf
P021,page_cover,DATA\STAGING\respondent_021\PNG\EMHA20260108_22245605.png,DATA\STAGING\respondent_021\PDF\EMHA20260108_22241845.pdf
P021,page_selfreport,DATA\STAGING\respondent_021\PNG\EMHA20260108_22253867.png,DATA\STAGING\respondent_021\PDF\EMHA20260108_22265866.pdf
P021,page_drawing,DATA\STAGING\respondent_021\PNG\EMHA20260108_22283953.png,DATA\STAGING\respondent_021\PDF\EMHA20260108_22280110.pdf
P021,page_writing,DATA\STAGING\respondent_021\PNG\EMHA20260108_22293567.png,DATA\STAGING\respondent_021\PDF\EMHA20260108_22301491.pdf
P022,page_cover,DATA\STAGING\respondent_022\PNG\EMHA20260108_22324500.png,DATA\STAGING\respondent_022\PDF\EMHA20260108_22320546.pdf
P022,page_selfreport,DATA\STAGING\respondent_022\PNG\EMHA20260108_22335770.png,DATA\STAGING\respondent_022\PDF\EMHA20260108_22343519.pdf
P022,page_drawing,DATA\STAGING\respondent_022\PNG\EMHA20260108_22362437.png,DATA\STAGING\respondent_022\PDF\EMHA20260108_22352782.pdf
P022,page_writing,DATA\STAGING\respondent_022\PNG\EMHA20260108_22372244.png,DATA\STAGING\respondent_022\PDF\EMHA20260306_01523135.pdf
P023,page_cover,DATA\STAGING\respondent_023\PNG\EMHA20260108_22402487.png,DATA\STAGING\respondent_023\PDF\EMHA20260108_22394193.pdf
P023,page_selfreport,DATA\STAGING\respondent_023\PNG\EMHA20260108_22410583.png,DATA\STAGING\respondent_023\PDF\EMHA20260108_22420727.pdf
P023,page_drawing,DATA\STAGING\respondent_023\PNG\EMHA20260108_22452040.png,DATA\STAGING\respondent_023\PDF\EMHA20260108_22425150.pdf
P023,page_writing,DATA\STAGING\respondent_023\PNG\EMHA20260108_22461978.png,DATA\STAGING\respondent_023\PDF\EMHA20260108_22470519.pdf
P024,page_cover,DATA\STAGING\respondent_024\PNG\EMHA20260108_22493612.png,DATA\STAGING\respondent_024\PDF\EMHA20260108_22484903.pdf
P024,page_selfreport,DATA\STAGING\respondent_024\PNG\EMHA20260108_22502513.png,DATA\STAGING\respondent_024\PDF\EMHA20260108_22530585.pdf
P024,page_drawing,DATA\STAGING\respondent_024\PNG\EMHA20260108_22543017.png,DATA\STAGING\respondent_024\PDF\EMHA20260108_22535003.pdf
P024,page_writing,DATA\STAGING\respondent_024\PNG\EMHA20260108_23001697.png,DATA\STAGING\respondent_024\PDF\EMHA20260108_23010172.pdf
P025,page_cover,DATA\STAGING\respondent_025\PNG\EMHA20260108_23024466.png,DATA\STAGING\respondent_025\PDF\EMHA20260108_23020628.pdf
P025,page_selfreport,DATA\STAGING\respondent_025\PNG\EMHA20260108_23040310.png,DATA\STAGING\respondent_025\PDF\EMHA20260108_23044996.pdf
P025,page_drawing,DATA\STAGING\respondent_025\PNG\EMHA20260108_23090691.png,DATA\STAGING\respondent_025\PDF\EMHA20260108_23054195.pdf
P025,page_writing,DATA\STAGING\respondent_025\PNG\EMHA20260108_23120084.png,DATA\STAGING\respondent_025\PDF\EMHA20260108_23125141.pdf
P026,page_cover,DATA\STAGING\respondent_026\PNG\EMHA20260108_23152521.png,DATA\STAGING\respondent_026\PDF\EMHA20260108_23142599.pdf
P026,page_selfreport,DATA\STAGING\respondent_026\PNG\EMHA20260108_23160813.png,DATA\STAGING\respondent_026\PDF\EMHA20260108_23173915.pdf
P026,page_drawing,DATA\STAGING\respondent_026\PNG\EMHA20260108_23210191.png,DATA\STAGING\respondent_026\PDF\EMHA20260108_23200703.pdf
P026,page_writing,DATA\STAGING\respondent_026\PNG\EMHA20260108_23220467.png,DATA\STAGING\respondent_026\PDF\EMHA20260108_23233086.pdf
P027,page_cover,DATA\STAGING\respondent_027\PNG\EMHA20260108_23254197.png,DATA\STAGING\respondent_027\PDF\EMHA20260108_23250157.pdf
P027,page_selfreport,DATA\STAGING\respondent_027\PNG\EMHA20260108_23274408.png,DATA\STAGING\respondent_027\PDF\EMHA20260108_23284936.pdf
P027,page_drawing,DATA\STAGING\respondent_027\PNG\EMHA20260108_23335651.png,DATA\STAGING\respondent_027\PDF\EMHA20260108_23311585.pdf
P027,page_writing,DATA\STAGING\respondent_027\PNG\EMHA20260108_23364000.png,DATA\STAGING\respondent_027\PDF\EMHA20260108_23371709.pdf
P028,page_cover,DATA\STAGING\respondent_028\PNG\EMHA20260108_23394133.png,DATA\STAGING\respondent_028\PDF\EMHA20260108_23381959.pdf
P028,page_selfreport,DATA\STAGING\respondent_028\PNG\EMHA20260108_23402684.png,DATA\STAGING\respondent_028\PDF\EMHA20260108_23411071.pdf
P028,page_drawing,DATA\STAGING\respondent_028\PNG\EMHA20260108_23465000.png,DATA\STAGING\respondent_028\PDF\EMHA20260108_23450230.pdf
P028,page_writing,DATA\STAGING\respondent_028\PNG\EMHA20260108_23480573.png,DATA\STAGING\respondent_028\PDF\EMHA20260108_23485275.pdf
P029,page_cover,DATA\STAGING\respondent_029\PNG\EMHA20260108_23503637.png,DATA\STAGING\respondent_029\PDF\EMHA20260108_23495769.pdf
P029,page_selfreport,DATA\STAGING\respondent_029\PNG\EMHA20260108_23563432.png,DATA\STAGING\respondent_029\PDF\EMHA20260108_23571699.pdf
P029,page_drawing,DATA\STAGING\respondent_029\PNG\EMHA20260109_00043291.png,DATA\STAGING\respondent_029\PDF\EMHA20260109_00034512.pdf
P029,page_writing,DATA\STAGING\respondent_029\PNG\EMHA20260109_00074330.png,DATA\STAGING\respondent_029\PDF\EMHA20260109_00083575.pdf
P030,page_cover,DATA\STAGING\respondent_030\PNG\EMHA20260109_00104407.png,DATA\STAGING\respondent_030\PDF\EMHA20260109_00100788.pdf
P030,page_selfreport,DATA\STAGING\respondent_030\PNG\EMHA20260109_00112149.png,DATA\STAGING\respondent_030\PDF\EMHA20260109_00122515.pdf
P030,page_drawing,DATA\STAGING\respondent_030\PNG\EMHA20260109_00143296.png,DATA\STAGING\respondent_030\PDF\EMHA20260109_00132462.pdf
P030,page_writing,DATA\STAGING\respondent_030\PNG\EMHA20260109_00153615.png,DATA\STAGING\respondent_030\PDF\EMHA20260109_00161732.pdf
P031,page_cover,DATA\STAGING\respondent_031\PNG\EMHA20260109_00192614.png,DATA\STAGING\respondent_031\PDF\EMHA20260109_00172173.pdf
P031,page_selfreport,DATA\STAGING\respondent_031\PNG\EMHA20260109_00201113.png,DATA\STAGING\respondent_031\PDF\EMHA20260109_00210363.pdf
P031,page_drawing,DATA\STAGING\respondent_031\PNG\EMHA20260109_00231260.png,DATA\STAGING\respondent_031\PDF\EMHA20260109_00223168.pdf
P031,page_writing,DATA\STAGING\respondent_031\PNG\EMHA20260109_00240087.png,DATA\STAGING\respondent_031\PDF\EMHA20260109_00253064.pdf
P032,page_cover,DATA\STAGING\respondent_032\PNG\EMHA20260109_00290228.png,DATA\STAGING\respondent_032\PDF\EMHA20260109_00281240.pdf
P032,page_selfreport,DATA\STAGING\respondent_032\PNG\EMHA20260109_00303697.png,DATA\STAGING\respondent_032\PDF\EMHA20260109_00311407.pdf
P032,page_drawing,DATA\STAGING\respondent_032\PNG\EMHA20260109_00330589.png,DATA\STAGING\respondent_032\PDF\EMHA20260109_00315351.pdf
P032,page_writing,DATA\STAGING\respondent_032\PNG\EMHA20260109_00340572.png,DATA\STAGING\respondent_032\PDF\EMHA20260109_00353474.pdf
P033,page_cover,DATA\STAGING\respondent_033\PNG\EMHA20260109_00384572.png,DATA\STAGING\respondent_033\PDF\EMHA20260109_00374803.pdf
P033,page_selfreport,DATA\STAGING\respondent_033\PNG\EMHA20260109_00394248.png,DATA\STAGING\respondent_033\PDF\EMHA20260109_00411639.pdf
P033,page_drawing,DATA\STAGING\respondent_033\PNG\EMHA20260109_00440574.png,DATA\STAGING\respondent_033\PDF\EMHA20260109_00415922.pdf
P033,page_writing,DATA\STAGING\respondent_033\PNG\EMHA20260109_00445039.png,DATA\STAGING\respondent_033\PDF\EMHA20260109_00462680.pdf
P034,page_cover,DATA\STAGING\respondent_034\PNG\EMHA20260109_00482089.png,DATA\STAGING\respondent_034\PDF\EMHA20260109_00474132.pdf
P034,page_selfreport,DATA\STAGING\respondent_034\PNG\EMHA20260109_00493161.png,DATA\STAGING\respondent_034\PDF\EMHA20260109_00501116.pdf
P034,page_drawing,DATA\STAGING\respondent_034\PNG\EMHA20260109_00521830.png,DATA\STAGING\respondent_034\PDF\EMHA20260109_00512445.pdf
P034,page_writing,DATA\STAGING\respondent_034\PNG\EMHA20260109_00534067.png,DATA\STAGING\respondent_034\PDF\EMHA20260109_00574633.pdf
P035,page_cover,DATA\STAGING\respondent_035\PNG\EMHA20260109_01111203.png,DATA\STAGING\respondent_035\PDF\EMHA20260109_01025033.pdf
P035,page_selfreport,DATA\STAGING\respondent_035\PNG\EMHA20260109_01115329.png,DATA\STAGING\respondent_035\PDF\EMHA20260109_01130442.pdf
P035,page_drawing,DATA\STAGING\respondent_035\PNG\EMHA20260109_01164389.png,DATA\STAGING\respondent_035\PDF\EMHA20260109_01154477.pdf
P035,page_writing,DATA\STAGING\respondent_035\PNG\EMHA20260109_01173137.png,DATA\STAGING\respondent_035\PDF\EMHA20260109_01192343.pdf
P036,page_cover,DATA\STAGING\respondent_036\PNG\EMHA20260109_13264536.png,DATA\STAGING\respondent_036\PDF\EMHA20260109_13275342.pdf
